# ------------------------------------------------------------------------
# Noise and sensitivity radiance spectrum
# NASA-GSFC Planetary Spectrum Generator (PSG) (Villanueva et al. 2015)
# Background sky sources include: CMB, Zodiacal dust (emitted and reflected), and Cirrus
# Synthesized on Sun Jun 10 15:35:49 2018
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Radiance unit: Contrast [radiance ratio w.r.t. parent star]
# Wave/freq Total Source Detector Telescope Background
6.851871348e-01  4.01304e-04  4.00074e-04  3.14062e-05  8.93643e-92  1.12798e-07
6.861659735e-01  4.08843e-04  4.07539e-04  3.26357e-05  1.25027e-91  1.17275e-07
6.871462106e-01  3.98581e-04  3.97368e-04  3.10715e-05  1.60195e-91  1.11711e-07
6.881278481e-01  4.00139e-04  3.98909e-04  3.13576e-05  2.17481e-91  1.12798e-07
6.891108879e-01  3.97538e-04  3.96327e-04  3.09973e-05  2.89073e-91  1.11559e-07
6.900953320e-01  3.96645e-04  3.95439e-04  3.09026e-05  3.87347e-91  1.11275e-07
6.910811825e-01  3.96560e-04  3.95352e-04  3.09331e-05  5.20914e-91  1.11441e-07
6.920684413e-01  3.98178e-04  3.96951e-04  3.12285e-05  7.06228e-91  1.12561e-07
6.930571105e-01  3.97429e-04  3.96206e-04  3.11557e-05  9.45803e-91  1.12355e-07
6.940471921e-01  3.92763e-04  3.91579e-04  3.04758e-05  1.24137e-90  1.09957e-07
6.950386881e-01  3.95961e-04  3.94744e-04  3.10146e-05  1.69440e-90  1.11957e-07
6.960316005e-01  3.92652e-04  3.91462e-04  3.05446e-05  2.23719e-90  1.10314e-07
6.970259313e-01  3.91848e-04  3.90662e-04  3.04633e-05  2.99006e-90  1.10073e-07
6.980216827e-01  3.94172e-04  3.92961e-04  3.08670e-05  4.05835e-90  1.11586e-07
6.990188565e-01  3.88813e-04  3.87648e-04  3.00809e-05  5.29561e-90  1.08796e-07
7.000174549e-01  3.89701e-04  3.88524e-04  3.02602e-05  7.12993e-90  1.09496e-07
7.010174798e-01  3.92816e-04  3.91608e-04  3.07863e-05  9.70458e-90  1.11452e-07
7.020189334e-01  3.92744e-04  3.91533e-04  3.08186e-05  1.29914e-89  1.11621e-07
7.030218175e-01  3.89230e-04  3.88047e-04  3.03155e-05  1.70825e-89  1.09850e-07
7.040261344e-01  3.87274e-04  3.86106e-04  3.00558e-05  2.26296e-89  1.08959e-07
7.050318860e-01  3.84447e-04  3.83301e-04  2.96631e-05  2.98294e-89  1.07585e-07
7.060390745e-01  3.85313e-04  3.84156e-04  2.98381e-05  4.00591e-89  1.08269e-07
7.070477017e-01  3.87148e-04  3.85971e-04  3.01637e-05  5.40424e-89  1.09500e-07
7.080577698e-01  3.80841e-04  3.79718e-04  2.92359e-05  6.98725e-89  1.06179e-07
7.090692809e-01  3.85702e-04  3.84532e-04  3.00248e-05  9.56818e-89  1.09093e-07
7.100822371e-01  3.80608e-04  3.79480e-04  2.92828e-05  1.24378e-88  1.06444e-07
7.110966403e-01  3.82040e-04  3.80896e-04  2.95439e-05  1.67186e-88  1.07440e-07
7.121124926e-01  3.82109e-04  3.80961e-04  2.95962e-05  2.23043e-88  1.07677e-07
7.131297962e-01  3.82817e-04  3.81659e-04  2.97473e-05  2.98430e-88  1.08273e-07
7.141485530e-01  3.77604e-04  3.76490e-04  2.89883e-05  3.86975e-88  1.05556e-07
7.151687652e-01  3.83422e-04  3.82252e-04  2.99251e-05  5.31353e-88  1.09014e-07
7.161904349e-01  3.80634e-04  3.79486e-04  2.95356e-05  6.97271e-88  1.07640e-07
7.172135641e-01  3.76502e-04  3.75388e-04  2.89425e-05  9.08076e-88  1.05523e-07
7.182381549e-01  3.80711e-04  3.79556e-04  2.96310e-05  1.23505e-87  1.08078e-07
7.192642094e-01  3.83202e-04  3.82021e-04  3.00600e-05  1.66381e-87  1.09688e-07
7.202917297e-01  3.74957e-04  3.73847e-04  2.88285e-05  2.11805e-87  1.05237e-07
7.213207179e-01  3.78887e-04  3.77739e-04  2.94740e-05  2.87325e-87  1.07637e-07
7.223511761e-01  3.76618e-04  3.75487e-04  2.91652e-05  3.77090e-87  1.06552e-07
7.233831063e-01  3.71074e-04  3.69989e-04  2.83578e-05  4.86095e-87  1.03643e-07
7.244165107e-01  3.71577e-04  3.70485e-04  2.84745e-05  6.46841e-87  1.04111e-07
7.254513915e-01  3.70392e-04  3.69307e-04  2.83341e-05  8.52646e-87  1.03639e-07
7.264877506e-01  3.70823e-04  3.69730e-04  2.84397e-05  1.13325e-86  1.04065e-07
7.275255902e-01  3.69085e-04  3.68005e-04  2.82151e-05  1.48816e-86  1.03283e-07
7.285649125e-01  3.71526e-04  3.70421e-04  2.86277e-05  1.99777e-86  1.04834e-07
7.296057195e-01  3.73120e-04  3.71998e-04  2.89132e-05  2.66852e-86  1.05919e-07
7.306480134e-01  3.68489e-04  3.67405e-04  2.82440e-05  3.44622e-86  1.03507e-07
7.316917963e-01  3.66462e-04  3.65393e-04  2.79753e-05  4.51087e-86  1.02561e-07
7.327370703e-01  3.68582e-04  3.67491e-04  2.83380e-05  6.03598e-86  1.03929e-07
7.337838375e-01  3.64151e-04  3.63095e-04  2.77036e-05  7.79175e-86  1.01639e-07
7.348321002e-01  3.62824e-04  3.61777e-04  2.75420e-05  1.02245e-85  1.01083e-07
7.358818603e-01  3.64919e-04  3.63851e-04  2.78986e-05  1.36647e-85  1.02429e-07
7.369331201e-01  3.62755e-04  3.61702e-04  2.76094e-05  1.78351e-85  1.01404e-07
7.379858817e-01  3.61849e-04  3.60802e-04  2.75114e-05  2.34292e-85  1.01079e-07
7.390401473e-01  3.67672e-04  3.66570e-04  2.84386e-05  3.19160e-85  1.04523e-07
7.400959189e-01  3.62012e-04  3.60957e-04  2.76138e-05  4.08234e-85  1.01527e-07
7.411531988e-01  3.65340e-04  3.64253e-04  2.81605e-05  5.48193e-85  1.03572e-07
7.422119891e-01  3.67498e-04  3.66389e-04  2.85324e-05  7.31089e-85  1.04976e-07
7.432722919e-01  3.57568e-04  3.56543e-04  2.70581e-05  9.12212e-85  9.95856e-08
7.443341095e-01  3.60891e-04  3.59834e-04  2.75994e-05  1.22375e-84  1.01612e-07
7.453974439e-01  3.57337e-04  3.56308e-04  2.70997e-05  1.57973e-84  9.98054e-08
7.464622974e-01  3.56441e-04  3.55417e-04  2.70029e-05  2.06863e-84  9.94817e-08
7.475286721e-01  3.55548e-04  3.54529e-04  2.69065e-05  2.70777e-84  9.91588e-08
7.485965702e-01  3.54440e-04  3.53427e-04  2.67778e-05  3.53869e-84  9.87164e-08
7.496659939e-01  3.57692e-04  3.56648e-04  2.73070e-05  4.73680e-84  1.00700e-07
7.507369453e-01  3.52483e-04  3.51481e-04  2.65594e-05  6.04507e-84  9.79736e-08
7.518094266e-01  3.54519e-04  3.53496e-04  2.69032e-05  8.03140e-84  9.92733e-08
7.528834401e-01  3.54581e-04  3.53555e-04  2.69506e-05  1.05485e-83  9.94791e-08
7.539589879e-01  3.49360e-04  3.48376e-04  2.62042e-05  1.34417e-83  9.67535e-08
7.550360722e-01  3.49365e-04  3.48378e-04  2.62420e-05  1.76351e-83  9.69228e-08
7.561146951e-01  3.51648e-04  3.50639e-04  2.66216e-05  2.34284e-83  9.83545e-08
7.571948590e-01  3.50203e-04  3.49203e-04  2.64418e-05  3.04620e-83  9.77195e-08
7.582765659e-01  3.50642e-04  3.49636e-04  2.65453e-05  4.00170e-83  9.81309e-08
7.593598181e-01  3.47055e-04  3.46076e-04  2.60446e-05  5.13569e-83  9.63083e-08
7.604446179e-01  3.47633e-04  3.46647e-04  2.61679e-05  6.74691e-83  9.67923e-08
7.615309673e-01  3.48346e-04  3.47351e-04  2.63118e-05  8.86692e-83  9.73523e-08
7.626188687e-01  3.47325e-04  3.46336e-04  2.61957e-05  1.15338e-82  9.69501e-08
7.637083242e-01  3.43344e-04  3.42385e-04  2.56380e-05  1.47428e-82  9.49128e-08
7.647993361e-01  3.42213e-04  3.41261e-04  2.55063e-05  1.91483e-82  9.44514e-08
7.658919066e-01  3.50578e-04  3.49553e-04  2.67990e-05  2.62556e-82  9.92659e-08
7.669860379e-01  3.48253e-04  3.47244e-04  2.64840e-05  3.38486e-82  9.81257e-08
7.680817323e-01  3.42176e-04  3.41216e-04  2.56090e-05  4.26813e-82  9.49092e-08
7.691789919e-01  3.42206e-04  3.41243e-04  2.56496e-05  5.57247e-82  9.50851e-08
7.702778190e-01  3.42371e-04  3.41404e-04  2.57106e-05  7.27838e-82  9.53360e-08
7.713782159e-01  3.43537e-04  3.42558e-04  2.59216e-05  9.55818e-82  9.61433e-08
7.724801848e-01  3.43477e-04  3.42496e-04  2.59492e-05  1.24585e-81  9.62707e-08
7.735837279e-01  3.37875e-04  3.36938e-04  2.51498e-05  1.57158e-81  9.33284e-08
7.746888475e-01  3.44792e-04  3.43794e-04  2.62210e-05  2.13181e-81  9.73281e-08
7.757955459e-01  3.37829e-04  3.36886e-04  2.52140e-05  2.66607e-81  9.36132e-08
7.769038252e-01  3.36958e-04  3.36020e-04  2.51203e-05  3.45320e-81  9.32882e-08
7.780136878e-01  3.36983e-04  3.36043e-04  2.51595e-05  4.49474e-81  9.34566e-08
