results_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2016, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: ExoEarth like Gatlin b - CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Wave/freq ExoEarth-like-Gatlin-b Transit Planet
2.735358808e+00 -1.35578e-03 -1.35578e-03  3.70652e-16
2.737068408e+00 -1.35386e-03 -1.35386e-03  7.33694e-17
2.738779075e+00 -1.32238e-03 -1.32238e-03  6.08359e-16
2.740490812e+00 -1.34599e-03 -1.34599e-03  4.80752e-16
2.742203619e+00 -1.34174e-03 -1.34174e-03  8.88105e-16
2.743917496e+00 -1.33540e-03 -1.33540e-03  3.09699e-17
2.745632445e+00 -1.33319e-03 -1.33319e-03  3.02458e-16
2.747348465e+00 -1.32764e-03 -1.32764e-03  1.07263e-16
2.749065558e+00 -1.31766e-03 -1.31766e-03  2.47604e-16
2.750783724e+00 -1.31973e-03 -1.31973e-03  6.23118e-17
2.752502964e+00 -1.31617e-03 -1.31617e-03  3.16251e-16
2.754223278e+00 -1.30786e-03 -1.30786e-03  2.96470e-16
2.755944667e+00 -1.29941e-03 -1.29941e-03  1.18720e-15
2.757667133e+00 -1.29172e-03 -1.29172e-03  1.09165e-16
2.759390675e+00 -1.29212e-03 -1.29212e-03  1.47141e-16
2.761115294e+00 -1.29282e-03 -1.29282e-03  2.29812e-16
2.762840991e+00 -1.28793e-03 -1.28793e-03  5.16516e-16
2.764567767e+00 -1.28439e-03 -1.28439e-03  5.73788e-16
2.766295621e+00 -1.27584e-03 -1.27584e-03  9.07927e-16
2.768024556e+00 -1.27416e-03 -1.27416e-03  6.93009e-16
2.769754572e+00 -1.27138e-03 -1.27138e-03  0.00000e+00
2.771485668e+00 -1.26610e-03 -1.26610e-03  6.91647e-16
2.773217847e+00 -1.25358e-03 -1.25358e-03  3.81951e-16
2.774951108e+00 -1.25671e-03 -1.25671e-03  2.25377e-16
2.776685452e+00 -1.25085e-03 -1.25085e-03  4.84128e-16
2.778420881e+00 -1.24950e-03 -1.24950e-03  7.25234e-16
2.780157394e+00 -1.24766e-03 -1.24766e-03  1.49420e-16
2.781894992e+00 -1.23419e-03 -1.23419e-03  3.28005e-16
2.783633677e+00 -1.23711e-03 -1.23711e-03  2.88533e-16
2.785373448e+00 -1.23359e-03 -1.23359e-03  1.05643e-16
2.787114306e+00 -1.23057e-03 -1.23057e-03  1.31449e-15
2.788856252e+00 -1.22629e-03 -1.22629e-03  2.04371e-16
2.790599288e+00 -1.22197e-03 -1.22197e-03  3.84112e-16
2.792343412e+00 -1.21718e-03 -1.21718e-03  1.10218e-16
2.794088627e+00 -1.21417e-03 -1.21417e-03  2.37156e-16
2.795834932e+00 -1.21116e-03 -1.21116e-03  3.71510e-16
2.797582329e+00 -1.20763e-03 -1.20763e-03  4.55766e-16
2.799330818e+00 -1.20111e-03 -1.20111e-03  0.00000e+00
2.801080400e+00 -1.19551e-03 -1.19551e-03  2.11269e-16
2.802831075e+00 -1.19454e-03 -1.19454e-03  1.25165e-15
2.804582844e+00 -1.19091e-03 -1.19091e-03  5.64801e-16
2.806335709e+00 -1.18366e-03 -1.18366e-03  5.66545e-16
2.808089668e+00 -1.18374e-03 -1.18374e-03  2.85245e-16
2.809844725e+00 -1.17797e-03 -1.17797e-03  0.00000e+00
2.811600877e+00 -1.17239e-03 -1.17239e-03  2.59246e-16
2.813358128e+00 -1.17055e-03 -1.17055e-03  8.79026e-17
2.815116477e+00 -1.16733e-03 -1.16733e-03  4.91763e-16
2.816875925e+00 -1.16390e-03 -1.16390e-03  1.06936e-16
2.818636472e+00 -1.15962e-03 -1.15962e-03  5.46877e-16
2.820398120e+00 -1.15454e-03 -1.15454e-03  3.20922e-16
2.822160869e+00 -1.15243e-03 -1.15243e-03  6.05976e-16
2.823924719e+00 -1.14747e-03 -1.14747e-03  0.00000e+00
2.825689672e+00 -1.14337e-03 -1.14337e-03  5.08619e-17
2.827455728e+00 -1.14108e-03 -1.14108e-03  2.19147e-16
2.829222888e+00 -1.13681e-03 -1.13681e-03  2.97296e-18
2.830991152e+00 -1.13445e-03 -1.13445e-03  3.06256e-17
2.832760522e+00 -1.12853e-03 -1.12853e-03  4.94033e-16
2.834530997e+00 -1.12736e-03 -1.12736e-03  6.02000e-16
2.836302579e+00 -1.12339e-03 -1.12339e-03  8.04394e-17
2.838075268e+00 -1.11948e-03 -1.11948e-03  5.45091e-16
2.839849065e+00 -1.10116e-03 -1.10116e-03  3.57750e-17
2.841623971e+00 -1.11111e-03 -1.11111e-03  1.83703e-16
2.843399986e+00 -1.10718e-03 -1.10718e-03  8.57662e-18
2.845177111e+00 -1.10145e-03 -1.10145e-03  1.25535e-17
2.846955347e+00 -1.10015e-03 -1.10015e-03  2.38965e-16
2.848734694e+00 -1.09753e-03 -1.09753e-03  3.31908e-16
2.850515153e+00 -1.09031e-03 -1.09031e-03  1.17257e-16
2.852296725e+00 -1.08802e-03 -1.08802e-03  5.29577e-17
2.854079410e+00 -1.08086e-03 -1.08086e-03  8.17529e-16
2.855863210e+00 -1.08198e-03 -1.08198e-03  1.40122e-17
2.857648124e+00 -1.07922e-03 -1.07922e-03  1.82794e-17
2.859434154e+00 -1.06923e-03 -1.06923e-03  2.28394e-16
2.861221301e+00 -1.07129e-03 -1.07129e-03  1.27764e-16
2.863009564e+00 -1.06588e-03 -1.06588e-03  9.63780e-18
2.864798945e+00 -1.06551e-03 -1.06551e-03  1.20176e-17
2.866589444e+00 -1.06056e-03 -1.06056e-03  2.74128e-16
2.868381063e+00 -1.05513e-03 -1.05513e-03  5.70993e-17
2.870173801e+00 -1.04250e-03 -1.04250e-03  2.38208e-17
2.871967660e+00 -1.03515e-03 -1.03515e-03  4.57750e-16
2.873762639e+00 -1.03716e-03 -1.03716e-03  5.57012e-17
2.875558741e+00 -1.03581e-03 -1.03581e-03  3.05559e-18
2.877355965e+00 -1.03915e-03 -1.03915e-03  2.46664e-16
2.879154313e+00 -1.03732e-03 -1.03732e-03  3.34096e-17
2.880953784e+00 -1.03412e-03 -1.03412e-03  2.36478e-17
2.882754380e+00 -1.02673e-03 -1.02673e-03  1.94056e-17
2.884556102e+00 -1.02204e-03 -1.02204e-03  1.22446e-16
2.886358949e+00 -1.02280e-03 -1.02280e-03  7.78687e-19
2.888162924e+00 -1.00979e-03 -1.00979e-03  3.95403e-16
2.889968026e+00 -1.01731e-03 -1.01731e-03  4.97372e-17
2.891774256e+00 -1.01336e-03 -1.01336e-03  2.17603e-17
2.893581614e+00 -1.00892e-03 -1.00892e-03  3.97383e-17
2.895390103e+00 -1.00607e-03 -1.00607e-03  0.00000e+00
2.897199722e+00 -1.00308e-03 -1.00308e-03  2.79825e-19
2.899010472e+00 -1.00008e-03 -1.00008e-03  7.88765e-19
2.900822353e+00 -9.95792e-04 -9.95792e-04  6.78175e-16
