# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2015)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2016, Smith et al. 2009, Edwards 1992)
# Synthesized on Thu May 31 23:19:24 2018
# Molecular abundance atmprofile: TRAPPIST-1 e - CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Aerosols considered: WaterIce,Cloud
# Aerosols sources: CRISM_Wolff[reff=2.0um 0.31-99.57um],White_GSFC[reff=1.0um 0.10-1000000.00um]
# Aerosols opacities: 1,1
# Aerosols opacity units: scl,scl
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Wave/freq Total N2 CO2 H2O WaterIce Cloud CIA
5.351304879e+00  0.00000  1.00000  0.21120  0.00000  0.00000  0.00000  0.99774
5.353534589e+00 -0.00000  1.00000  0.10843 -0.00000  0.00000  0.00000  0.99914
5.355765228e+00  0.00000  1.00000  0.24627  0.00000  0.00000  0.00000  0.99902
5.357996797e+00 -0.00000  1.00000  0.09036 -0.00000  0.00000  0.00000  0.99966
5.360229296e+00  0.00000  1.00000  0.26121  0.00000  0.00000  0.00000  0.99984
5.362462725e+00  0.00000  1.00000  0.07348  0.00000  0.00000  0.00000  0.99997
5.364697084e+00  0.00000  1.00000  0.23371  0.00000  0.00000  0.00000  0.99980
5.366932375e+00  0.00000  1.00000  0.11379  0.00000  0.00000  0.00000  0.99963
5.369168597e+00  0.00000  1.00000  0.25075  0.00000  0.00000  0.00000  0.99977
5.371405750e+00  0.00000  1.00000  0.11022  0.00000  0.00000  0.00000  0.99984
5.373643836e+00  0.00000  1.00000  0.30487  0.00000  0.00000  0.00000  0.99974
5.375882854e+00  0.00000  1.00000  0.09595  0.00000  0.00000  0.00000  0.99957
5.378122805e+00 -0.00000  1.00000  0.33571 -0.00000  0.00000  0.00000  0.99970
5.380363690e+00 -0.00000  1.00000  0.08494 -0.00000  0.00000  0.00000  0.99967
5.382605508e+00  0.00000  1.00000  0.42511  0.00000  0.00000  0.00000  0.99954
5.384848260e+00  0.00000  1.00000  0.08498  0.00001  0.00000  0.00000  0.99953
5.387091947e+00  0.00000  1.00000  0.50579  0.00000  0.00000  0.00000  0.99966
5.389336569e+00  0.00000  1.00000  0.08461  0.00007  0.00000  0.00000  0.99930
5.391582126e+00  0.00000  1.00000  0.41527  0.00008  0.00000  0.00000  0.99910
5.393828618e+00  0.00000  1.00000  0.32976  0.00002  0.00000  0.00000  0.99890
5.396076047e+00  0.00000  1.00000  0.44263  0.00000  0.00000  0.00000  0.99870
5.398324412e+00  0.00000  1.00000  0.35136  0.00000  0.00000  0.00000  0.99811
5.400573714e+00  0.00000  1.00000  0.52312  0.00000  0.00000  0.00000  0.99764
5.402823953e+00  0.00000  1.00000  0.36206  0.00000  0.00000  0.00000  0.99689
5.405075129e+00  0.00000  1.00000  0.60806 -0.00000  0.00000  0.00000  0.99669
5.407327244e+00 -0.00000  1.00000  0.36014 -0.00000  0.00000  0.00000  1.00019
5.409580297e+00 -0.00000  1.00000  0.69547 -0.00000  0.00000  0.00000  1.00000
5.411834289e+00 -0.00000  1.00000  0.35368 -0.00000  0.00000  0.00000  1.00000
5.414089220e+00  0.00000  1.00000  0.78505  0.00000  0.00000  0.00000  1.00000
5.416345090e+00  0.00000  1.00000  0.35034  0.00000  0.00000  0.00000  1.00000
5.418601901e+00 -0.00000  1.00000  0.58514 -0.00000  0.00000  0.00000  1.00000
